Marital Status,Hours_Week,Gender,Occupation,CustomerID,Age,months_as_customer,policy_deductable,policy_annual_premium,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,State,vehicle_age,work
6,25,1,4,3411,19,62,1000,988.45,6,0,0,2,1,2,1,1,0,1,1,1,60200,6020,6020,48160,18,19,1
1,38,0,5,9319,31,289,2000,1222.48,6,0,0,4,1,1,5,1,0,1,1,1,5330,1230,820,3280,7,22,1
1,40,0,1,7345,48,431,2000,1155.55,6,65700,0,1,1,3,1,3,0,2,0,0,62300,12460,6230,43610,29,16,2
1,43,0,7,8076,31,199,500,1262.08,5,48500,0,2,3,3,4,1,0,0,3,0,60170,10940,10940,38290,19,12,1
1,40,0,1,3671,53,79,500,1451.62,3,0,-55700,2,1,1,4,1,0,2,2,0,40000,8000,4000,28000,3,13,2
1,50,0,11,666,24,116,500,1737.66,6,0,-24100,2,2,3,1,1,0,1,1,0,97080,16180,16180,64720,18,22,1
7,40,1,4,6772,49,37,500,1475.93,4,0,-67400,1,2,1,3,3,1,1,0,0,51660,5740,5740,40180,9,13,1
2,35,0,9,7578,25,106,500,538.17,1,49700,-60200,2,1,2,3,1,0,2,2,0,51120,5680,5680,39760,25,18,1
1,40,0,1,1807,57,269,2000,1081.08,6,36400,-28700,2,3,1,3,1,1,0,2,0,56400,11280,11280,33840,18,9,6
1,38,0,7,4594,53,265,1000,1454.43,4,0,0,1,1,2,3,3,0,2,3,0,55120,6890,0,48230,7,21,1
3,40,1,2,9555,44,163,500,1240.47,4,35300,0,1,1,2,2,3,1,1,1,0,77110,0,14020,63090,18,9,1
1,40,0,3,4653,41,355,2000,1273.7,4,0,0,1,3,3,2,3,0,2,1,0,62800,6280,6280,50240,26,20,4
2,43,0,1,7847,29,175,1000,1123.87,2,0,0,3,1,4,1,1,0,2,0,1,7290,810,810,5670,8,28,1
1,40,1,2,9608,25,192,1000,1245.89,5,0,-40300,2,1,2,3,1,0,0,0,0,76600,15320,7660,53620,14,23,1
2,30,1,6,8551,18,430,2000,1326.62,1,0,0,1,3,1,2,3,0,0,3,1,81800,16360,8180,57260,6,25,1
1,60,1,1,9882,47,91,2000,1073.83,4,0,0,3,1,4,5,1,0,1,2,0,7260,1320,660,5280,3,15,1
3,55,0,2,1832,50,217,1000,1530.52,3,0,0,3,1,1,5,1,0,2,1,1,4300,430,430,3440,19,23,6
3,60,0,2,6676,47,223,500,1201.41,4,88400,-46500,1,2,3,1,3,1,1,0,0,70510,12820,12820,44870,5,24,5
1,40,0,11,9337,43,195,1000,1393.57,3,47600,-39600,4,1,1,1,1,0,0,1,1,2640,480,480,1680,25,14,1
1,40,0,7,5504,46,22,1000,1276.57,3,71500,0,2,1,1,2,1,1,1,2,0,78900,15780,7890,55230,7,28,1
1,40,0,6,3443,35,439,500,1082.49,6,36100,-55000,1,3,3,2,3,0,2,3,0,56430,0,6270,50160,5,9,1
1,48,0,4,5744,41,94,1000,1414.74,1,0,0,4,1,1,5,1,0,1,3,0,2400,300,300,1800,7,9,1
1,40,0,7,3941,30,11,2000,1470.06,4,56600,-45800,2,3,2,4,1,1,0,1,0,65790,7310,7310,51170,4,16,1
1,40,0,5,8626,30,151,2000,870.63,1,94800,-58500,1,2,1,1,3,0,1,1,0,62920,11440,5720,45760,9,23,1
5,40,0,1,6674,32,154,500,795.23,2,36900,0,1,1,3,1,3,1,2,1,0,69480,15440,0,54040,18,9,1
1,40,0,8,3950,48,245,1000,1168.2,4,69100,0,1,2,2,3,3,0,0,3,0,44280,7380,3690,33210,29,26,1
1,45,0,1,189,42,119,1000,993.51,6,0,-49500,2,2,1,3,1,0,0,3,1,56300,5630,11260,39410,22,12,1
3,58,0,11,2951,29,215,500,1848.81,1,0,-49000,1,3,3,2,3,1,2,2,1,68520,11420,5710,51390,2,20,1
1,40,0,3,8355,36,295,2000,1641.73,3,62400,0,1,1,2,2,3,0,0,0,0,59130,6570,6570,45990,25,17,1
3,40,1,4,3561,28,254,500,1362.87,2,35700,0,1,3,1,4,3,1,2,2,0,82320,13720,6860,61740,3,28,1
1,40,1,4,5066,53,107,500,1239.22,3,43400,-91200,2,2,1,2,1,1,0,1,0,89700,13800,13800,62100,11,14,1
1,50,0,2,2873,49,478,500,835.02,6,59600,0,1,2,1,2,3,0,1,1,0,33930,0,3770,30160,23,25,5
2,40,0,1,5125,25,128,1000,1061.33,1,43300,-66200,2,3,3,4,1,0,0,3,0,68530,12460,6230,49840,10,26,1
2,32,0,1,6579,19,338,1000,1279.08,1,0,-51500,4,1,1,5,1,0,0,1,0,4300,860,860,2580,15,19,1
7,40,1,5,5738,31,271,500,1105.49,1,56200,-50000,1,2,3,3,2,0,2,3,0,68310,12420,6210,49680,10,20,1
1,70,0,5,3524,29,222,2000,1055.53,3,37800,-50300,2,3,2,3,1,0,0,2,0,61290,6810,6810,47670,4,28,2
2,40,0,7,718,23,199,1000,895.83,4,0,0,2,1,1,4,1,0,1,2,0,30100,3010,0,27090,27,24,1
1,20,0,1,5999,79,215,500,1632.93,3,0,-42900,1,1,1,2,3,0,2,0,1,57120,9520,4760,42840,8,21,1
2,40,0,6,3753,27,192,1000,1405.99,5,0,0,1,2,1,4,3,1,1,0,1,42930,9540,4770,28620,27,18,1
1,40,0,4,9173,40,120,1000,1425.54,2,78300,0,1,3,2,4,3,0,2,0,0,51210,11380,5690,34140,25,13,1
1,2,0,1,4365,67,270,1000,1038.09,4,0,-19700,1,3,1,2,3,0,1,1,1,89400,14900,7450,67050,7,25,1
2,22,1,6,787,18,319,500,1307.11,3,0,0,1,3,2,1,3,0,0,2,0,59730,10860,10860,38010,19,18,1
1,40,0,10,6345,31,194,1000,1489.24,5,0,-45000,3,1,1,5,1,1,2,2,1,8060,1240,1240,5580,4,19,3
2,30,0,5,199,18,227,500,976.67,6,0,0,2,1,3,2,1,0,1,2,0,72200,14440,7220,50540,21,10,1
1,40,0,6,1483,52,137,2000,1340.43,4,52700,-40600,1,2,1,4,3,0,1,2,0,50800,10160,10160,30480,11,18,1
1,40,1,6,2768,46,244,2000,1267.81,5,0,0,3,1,4,5,1,0,2,1,0,6600,660,1320,4620,21,18,1
1,48,0,5,3704,59,78,1000,1234.2,2,0,0,3,1,1,1,1,1,2,2,0,7500,750,1500,5250,1,21,1
3,40,1,3,5840,44,200,2000,1318.06,5,57300,-80600,3,1,4,5,1,0,0,3,1,6490,1180,1180,4130,15,21,1
3,35,1,5,9893,53,284,2000,769.95,3,0,-44200,1,2,3,4,2,0,2,3,0,60940,5540,11080,44320,13,10,1
1,40,0,12,8840,49,275,2000,1514.72,1,35700,0,1,3,3,2,3,1,0,1,0,58300,5830,11660,40810,10,16,3
1,50,0,1,2674,33,153,1000,873.64,4,800,0,1,3,1,3,3,0,2,1,0,68400,11400,11400,45600,22,16,1
2,40,0,5,5857,30,134,500,1612.43,1,36400,0,2,2,2,2,1,0,2,1,1,64240,11680,11680,40880,15,8,1
2,50,1,1,8314,43,31,2000,1318.24,3,0,-78600,4,1,4,5,1,0,0,1,1,4700,940,470,3290,6,21,6
1,40,0,1,1187,57,41,1000,1226.83,3,0,-56100,1,2,3,3,3,1,2,0,0,45120,0,5640,39480,29,12,1
3,40,1,3,5349,37,127,2000,1326.44,1,0,0,1,3,2,2,2,1,1,1,0,66950,10300,10300,46350,11,28,1
3,25,1,7,9322,28,61,2000,1136.83,1,0,-62400,2,2,3,1,1,0,0,3,0,98340,8940,17880,71520,18,19,1
1,35,1,5,9055,30,207,2000,1322.78,1,55200,0,4,1,4,5,1,0,0,1,0,5900,590,590,4720,15,16,1
1,40,0,12,1491,34,219,1000,1483.25,3,90700,-20800,1,3,3,4,3,0,1,1,0,70680,5890,11780,53010,15,14,3
2,50,0,9,5787,29,271,500,1515.3,3,0,0,1,1,2,4,3,0,1,0,0,93720,17040,8520,68160,10,18,3
1,60,0,1,2856,48,80,2000,1075.18,4,67700,-58400,3,1,1,5,1,0,2,0,1,6930,1260,630,5040,11,22,2
1,48,0,5,3480,37,325,1000,1690.27,3,61500,0,2,2,3,2,1,1,0,3,0,72930,6630,6630,59670,24,17,1
3,40,1,2,2552,48,29,2000,1352.83,1,0,-71700,1,1,1,3,4,1,1,2,1,64890,7210,7210,50470,23,10,1
2,40,0,6,9203,32,295,1000,1148.73,5,0,0,4,1,4,5,1,0,1,2,1,5400,900,900,3600,5,24,6
1,40,0,2,3807,76,239,1000,969.5,3,0,0,3,1,4,5,1,0,0,0,0,5600,700,700,4200,27,16,1
1,60,0,2,7102,44,269,500,1463.82,3,0,-72300,2,1,1,1,1,1,0,0,0,79300,15860,15860,47580,11,16,1
2,50,1,1,2150,47,80,1000,1474.17,6,0,0,2,2,3,1,1,1,1,0,1,52800,10560,5280,36960,4,19,2
2,40,1,11,5844,20,279,500,1497.35,4,37300,-31700,1,3,1,2,3,0,2,3,0,28800,0,3600,25200,8,10,1
2,40,0,3,6085,29,165,1000,1427.14,2,35300,-58100,4,1,1,1,1,0,1,1,0,2970,330,330,2310,5,15,1
1,40,0,3,945,32,350,500,1495.1,5,50500,0,1,2,2,1,3,0,0,0,0,93480,15580,7790,70110,16,9,5
2,32,1,1,9544,17,295,500,1141.62,4,34300,-24300,3,1,1,5,1,1,1,3,1,4320,480,480,3360,11,21,1
2,40,0,9,6053,30,464,1000,1125.37,4,0,-56400,1,1,3,1,3,0,0,2,1,79800,6650,19950,53200,2,23,1
2,40,1,4,7704,31,118,2000,1207.36,1,0,-57000,1,3,3,4,2,0,1,0,0,74200,7420,14840,51940,4,26,3
1,40,0,9,7234,42,298,2000,1338.5,2,28800,0,2,3,3,2,1,0,0,0,0,70590,10860,10860,48870,11,23,1
2,40,0,5,4531,24,87,1000,1074.07,4,0,-47500,1,1,3,2,3,0,0,3,1,60940,5540,11080,44320,24,17,1
1,40,0,1,3973,38,261,500,1337.56,6,0,0,2,1,1,1,1,0,1,2,1,74700,7470,14940,52290,10,13,1
1,50,0,6,9395,56,453,500,1298.91,6,52600,-38800,2,3,3,2,1,1,0,0,0,70000,14000,7000,49000,13,8,2
1,25,1,5,353,28,210,500,1222.75,2,0,-41000,1,1,2,3,3,0,2,0,0,81070,14740,14740,51590,5,22,1
2,40,1,7,2682,36,168,1000,1059.52,1,0,-40600,1,2,3,3,2,0,1,1,0,57720,14430,9620,33670,11,16,1
1,50,0,9,4780,53,390,2000,1124.38,2,0,0,3,1,1,5,1,1,1,1,1,7080,1180,1180,4720,26,22,1
1,50,0,5,3119,56,258,1000,1110.37,2,34400,-56800,1,2,2,3,3,0,0,1,0,47700,4770,9540,33390,8,26,5
1,40,0,3,8577,49,107,2000,1374.22,2,62000,-63100,2,1,1,1,1,0,0,3,0,51260,9320,9320,32620,25,21,3
1,56,0,5,8037,55,225,2000,1103.58,6,41200,-36200,1,2,3,1,3,0,2,2,0,70400,6400,12800,51200,16,12,1
2,41,0,3,4385,22,164,2000,1269.76,3,44300,0,2,1,1,2,1,0,1,3,1,90000,18000,9000,63000,3,8,1
2,40,1,6,7779,21,245,500,964.79,4,58000,0,1,1,1,1,3,0,0,1,0,72820,13240,6620,52960,25,13,1
1,60,0,2,8098,40,255,2000,1167.3,2,0,0,2,2,1,2,1,0,2,0,0,69300,13860,13860,41580,8,23,1
2,40,0,2,6331,30,206,500,1625.45,2,0,-53700,2,3,3,4,1,0,2,1,0,76560,12760,12760,51040,17,15,1
1,50,0,1,1153,29,203,500,1394.43,3,0,0,2,3,3,4,1,0,0,1,1,55440,0,6160,49280,9,24,4
2,35,0,6,6964,19,22,2000,1053.24,2,51100,0,1,3,2,3,4,1,1,0,0,77130,8570,17140,51420,27,28,1
1,40,1,2,8521,47,211,500,1040.75,3,0,0,2,1,2,4,1,1,1,1,0,42000,7000,7000,28000,5,12,1
2,28,1,4,7644,20,206,1000,1302.4,6,47200,-69700,1,1,2,4,3,0,2,3,1,36300,3300,9900,23100,11,10,1
1,40,0,4,6300,31,166,2000,1588.55,6,59600,-32100,2,2,2,3,1,0,0,0,0,40320,5760,5760,28800,23,22,1
1,40,0,1,201,35,165,500,1399.26,1,70500,0,4,1,1,1,1,0,2,0,0,3960,330,660,2970,19,25,1
3,40,0,3,8181,39,274,2000,1352.31,5,40700,-47300,2,3,3,2,1,1,0,3,1,63840,10640,10640,42560,13,17,1
2,60,1,5,7268,28,81,1000,1139,4,42400,0,1,3,3,2,3,0,1,2,0,44730,4970,4970,34790,13,23,1
2,40,1,6,3410,24,280,1000,1397.67,5,57900,0,1,3,1,3,3,1,1,2,0,84720,14120,14120,56480,23,24,1
1,35,0,3,4838,38,194,500,823.17,1,0,0,1,3,3,3,3,0,2,2,0,61500,6150,12300,43050,13,11,2
1,50,0,5,8391,37,112,500,965.13,6,60000,-54800,1,3,3,4,3,0,0,1,0,51000,8500,8500,34000,13,10,1
3,36,1,11,7529,46,24,1000,1922.84,5,0,-45200,2,2,2,1,1,0,2,1,0,46800,4680,9360,32760,10,21,1
1,40,0,1,7752,38,93,2000,1624.82,6,65300,-65600,2,2,1,4,1,0,1,1,0,78120,17360,8680,52080,12,17,6
1,60,0,3,433,43,171,2000,1277.25,2,84900,0,2,1,3,1,1,0,1,2,0,69200,13840,6920,48440,29,27,2
1,35,1,4,8044,27,200,1000,1439.34,2,45300,-20400,3,1,1,1,1,0,0,0,0,3690,410,410,2870,14,8,1
2,20,0,5,1325,20,120,1000,1281.27,3,68900,0,1,1,1,2,3,0,0,3,0,65500,6550,6550,52400,3,13,1
1,40,0,3,2934,49,325,500,1348.83,5,46300,-77500,1,1,1,2,3,0,1,2,1,76120,13840,6920,55360,19,24,1
1,40,0,3,1306,61,124,1000,1198.15,3,0,-43200,1,3,2,3,3,0,0,2,1,73560,12260,12260,49040,11,28,5
2,40,1,5,3868,27,211,2000,1221.22,2,76000,0,2,1,2,1,1,1,0,1,0,52030,9460,4730,37840,1,15,1
2,30,0,6,221,19,287,2000,968.74,5,0,-49000,3,1,4,5,1,0,2,3,0,5170,470,940,3760,14,22,1
2,40,1,1,5857,45,122,1000,1220.71,1,58600,-28700,4,1,1,5,1,0,2,1,1,8190,1890,1260,5040,4,10,1
2,40,0,11,5804,70,22,2000,1238.62,2,0,-56200,2,1,3,4,1,0,2,3,0,70800,7080,14160,49560,11,11,1
2,30,1,8,7073,31,106,2000,1320.75,5,54100,0,1,1,2,1,3,0,0,3,1,45630,5070,5070,35490,9,12,1
1,24,0,6,6097,22,398,500,990.98,5,0,-57900,2,3,3,1,1,1,2,1,0,99320,7640,15280,76400,25,21,1
4,24,1,6,869,36,214,500,1398.51,3,0,-57100,1,2,3,2,3,0,2,0,0,64000,12800,6400,44800,13,27,1
1,40,0,3,2705,64,209,500,1355.08,2,58100,0,2,3,1,2,1,0,1,1,0,47300,4730,4730,37840,5,9,1
3,40,1,1,4129,43,82,1000,1384.51,3,13100,-38200,2,1,3,3,1,0,2,3,0,71680,8960,8960,53760,3,16,1
3,38,1,4,5509,47,193,500,847.03,3,0,0,2,2,3,3,1,0,1,0,1,112320,17280,17280,77760,26,12,3
2,40,1,4,595,34,134,1000,1000.06,5,0,0,2,2,2,3,1,0,1,0,0,82720,7520,15040,60160,23,9,1
2,40,1,2,6230,33,288,1000,1046.71,4,0,0,1,1,3,2,3,0,2,1,0,48060,10680,5340,32040,24,14,1
2,35,0,3,7981,21,104,500,1158.03,1,31900,-44600,1,1,2,1,3,1,1,3,1,63570,9780,9780,44010,25,17,1
3,45,0,1,252,52,431,1000,1372.27,1,17600,0,1,1,2,2,3,0,2,3,0,63240,10540,10540,42160,22,26,1
1,46,0,3,3969,48,101,1000,1053.04,1,52000,-44500,1,1,1,4,3,0,1,3,0,54240,9040,9040,36160,21,10,1
2,40,0,9,1123,23,375,1000,1275.39,2,0,0,2,3,3,1,1,1,2,3,0,37280,0,0,37280,24,27,1
7,2,0,5,6138,71,461,2000,1402.75,4,0,0,1,1,1,1,3,0,2,1,1,72100,7210,14420,50470,21,17,2
3,60,0,3,5884,29,428,500,1344.36,2,0,0,4,1,1,5,1,0,2,3,0,6500,1300,650,4550,13,10,1
7,50,0,6,1692,42,45,1000,1197.71,3,29000,0,1,3,2,4,3,0,2,0,0,78240,13040,13040,52160,6,10,1
3,20,1,1,8421,68,136,500,1203.24,2,62500,-66900,3,1,1,1,1,0,2,0,0,6200,1240,620,4340,1,24,1
2,40,1,6,3746,25,216,1000,1152.4,6,39600,-82400,4,1,1,1,1,1,2,3,0,6160,560,1680,3920,21,9,1
3,40,1,2,2414,44,278,2000,1142.62,3,0,-54000,2,3,2,4,1,0,2,0,0,76050,11700,11700,52650,29,26,5
2,40,1,2,5526,28,295,1000,1332.07,6,49700,-59100,1,2,2,4,2,0,2,1,1,86060,13240,13240,59580,3,21,1
1,40,0,5,672,45,112,1000,1166.54,3,47700,-59300,2,3,3,2,1,1,2,0,0,107900,10790,21580,75530,2,26,2
3,40,1,6,3035,36,122,500,1495.06,6,38100,-31400,1,1,2,2,3,0,2,0,1,99990,18180,18180,63630,13,12,1
2,42,0,2,7763,39,108,1000,1337.92,3,71400,0,1,2,1,4,3,0,2,2,1,61380,11160,5580,44640,14,11,6
4,40,0,12,660,46,14,2000,1587.96,6,0,-26900,2,1,3,2,1,0,2,1,1,71280,12960,12960,45360,24,11,4
2,16,0,9,2625,18,298,1000,1362.29,6,0,-51100,1,3,1,4,3,0,0,0,0,64000,12800,6400,44800,17,24,1
4,20,1,1,5311,66,276,500,1448.84,4,0,-50000,4,1,4,1,1,0,0,1,0,5940,660,660,4620,14,8,3
2,40,0,6,5167,27,47,2000,1241.97,3,75400,0,4,1,1,5,1,0,1,0,0,6700,670,670,5360,10,12,1
1,40,0,12,9673,28,222,500,1124.6,3,0,0,1,1,1,1,3,1,0,0,0,51740,11940,7960,31840,5,17,4
1,40,0,5,9688,51,119,2000,1079.92,4,88800,0,2,1,2,4,1,0,0,1,1,53600,6700,6700,40200,10,16,1
2,50,0,3,8074,27,73,1000,1447.78,5,35100,-59900,1,1,2,3,3,1,1,0,0,44910,4990,4990,34930,1,22,1
1,40,0,1,254,28,8,500,1229.16,5,0,-88300,1,3,3,2,3,0,0,2,1,48100,11100,7400,29600,24,9,4
5,25,1,5,2581,27,294,1000,1226.49,6,53900,0,3,1,4,5,1,0,0,1,0,6100,610,1220,4270,1,21,1
2,40,0,3,1826,21,324,2000,897.89,5,0,-41300,2,1,1,3,1,0,1,0,1,79600,15920,15920,47760,8,12,1
2,40,0,9,7746,34,155,500,1706.79,2,0,0,2,3,1,4,1,0,1,1,1,77040,8560,8560,59920,7,25,1
2,12,0,6,2150,18,261,1000,1254.18,2,0,-45100,2,1,1,2,1,1,0,1,0,62590,11380,11380,39830,23,20,1
1,65,0,1,9901,33,245,500,885.08,2,27000,-58900,2,3,2,3,1,1,0,1,0,85150,13100,13100,58950,9,25,1
1,38,0,2,5005,44,235,500,1046.58,5,0,-31700,3,1,4,5,1,0,2,1,0,4950,450,900,3600,7,13,3
3,40,1,4,8046,43,53,2000,1712.68,3,72200,0,1,2,3,2,3,0,2,0,1,51100,10220,5110,35770,17,17,1
2,45,0,3,5724,30,426,2000,1097.71,3,29600,-22300,2,2,1,1,1,1,2,3,0,100800,16800,16800,67200,18,26,1
1,40,0,7,4685,40,111,500,1363.77,4,51100,0,2,2,2,1,1,1,2,3,0,90970,16540,16540,57890,18,14,1
1,42,0,4,5744,37,86,500,1382.88,2,0,-30300,2,1,1,1,1,0,1,1,1,81840,14880,7440,59520,14,12,6
1,40,0,4,5048,34,296,1000,1141.35,3,0,0,2,3,3,4,1,0,0,2,0,54900,5490,5490,43920,19,10,1
3,40,1,2,8781,41,125,500,1054.83,4,0,-51300,2,3,2,2,1,1,2,3,0,88660,8060,16120,64480,25,16,2
3,50,1,1,5105,53,177,2000,1057.77,6,0,-57700,1,3,2,4,3,0,1,1,0,18000,2250,2250,13500,14,14,1
1,50,1,1,6916,31,238,2000,1488.02,2,0,-39200,3,1,1,1,1,1,1,3,1,5500,1100,550,3850,27,13,1
1,1,0,1,2646,58,81,500,920.3,1,51000,-67900,1,1,3,3,3,0,1,0,0,73920,13440,6720,53760,11,20,4
3,28,1,7,8921,38,128,1000,986.53,2,62700,0,2,1,2,4,1,0,0,2,1,101860,18520,18520,64820,15,16,1
1,40,0,7,1309,24,449,2000,1440.68,1,25000,0,4,1,1,5,1,1,0,1,1,5390,980,980,3430,26,15,1
1,40,0,3,4539,41,252,1000,1086.21,6,68500,-57500,2,2,1,1,1,0,1,2,0,50490,5610,5610,39270,26,22,3
1,45,0,11,6300,47,359,2000,1367.68,6,0,0,2,3,2,1,1,0,0,3,0,55500,5550,11100,38850,23,11,1
1,24,0,11,9596,41,19,1000,1215.85,4,42900,-90200,3,1,1,1,1,1,1,1,1,7040,1280,640,5120,11,8,6
1,40,0,8,8973,23,73,2000,1191.19,3,29300,0,1,1,2,3,3,0,0,1,1,40160,5020,0,35140,5,20,1
3,40,0,3,5964,36,285,1000,1594.45,4,0,0,1,2,2,2,2,1,2,3,0,55680,6960,6960,41760,11,17,1
2,55,1,2,8708,40,196,2000,1463.07,1,0,0,3,1,4,1,1,0,1,1,0,5300,530,530,4240,11,22,6
1,40,0,1,3916,35,223,500,1734.09,3,0,0,4,1,4,5,1,1,0,3,0,5200,650,650,3900,17,17,1
2,40,0,5,7304,24,328,500,1411.43,1,45100,-32800,2,3,3,4,1,1,2,1,0,59400,5940,11880,41580,7,9,2
2,40,1,1,9608,26,285,2000,1512.58,2,47600,0,3,1,1,1,1,0,1,1,0,2520,280,280,1960,3,26,1
2,40,0,1,8359,19,30,2000,1153.35,3,0,0,3,1,4,1,1,0,2,1,1,5760,960,960,3840,23,12,1
1,50,0,2,7729,51,342,500,1722.95,3,63100,-13800,2,1,1,2,1,0,2,0,1,76700,7670,7670,61360,2,17,1
2,40,1,1,1043,42,219,2000,1281.07,6,0,0,4,1,4,1,1,0,0,2,0,5920,740,740,4440,18,8,3
3,35,1,4,5200,37,468,500,1011.92,5,0,0,1,1,3,2,3,1,0,3,0,64350,7150,7150,50050,25,14,4
2,40,1,5,782,18,241,2000,1042.26,4,0,0,1,1,2,4,3,0,1,2,0,19080,4240,2120,12720,3,28,1
1,36,0,6,611,36,223,500,1235.1,3,66400,-34400,2,1,1,1,1,0,2,1,0,54400,5440,5440,43520,11,12,1
3,60,0,3,4453,35,128,2000,768.91,2,0,-39300,2,1,2,2,1,0,1,0,0,59800,5980,5980,47840,3,24,1
1,35,1,5,1330,58,124,500,1301.72,4,0,0,1,2,3,1,3,0,0,3,1,72000,7200,7200,57600,29,18,5
